pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AF164323.1.1112_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_spinosus	1	JEL59
AH009063.1.1112_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_spinosus	1	JEL59
KC812613.1.961_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Dendrochytridium	Dendrochytridium_crassum	1	
AF164285.1.1031_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Diplochytridium	Diplochytridium_lagenarium	1	JEL72
AH009044.1.1031_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Diplochytridium	Diplochytridium_lagenarium	1	JEL72
FJ827649.1.1052_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_africanum	1	
JQ014020.1.1095_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_arcticum	1	FSU 6200
KC812608.1.965_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_bullatum	1	
FJ827648.1.1067_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_californicum	1	
DQ536473.1.3565_G	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_planicorne	1	
DQ536473.1.3565_R	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_planicorne	1	
KC812607.1.964_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_planicorne	1	
HQ865820.1.888_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_planicorne	1	
FJ827643.1.1048_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_reinboldtiae	1	
GU358606.1.1057_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Phlyctochytrium	Phlyctochytrium_sp.	1	
FJ822965.1.932_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Polyphlyctis	Polyphlyctis_unispina	1	
EF432819.1.3579_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
HQ219341.1.2608_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
HQ191401.1.2446_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
HQ191340.1.2446_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
HQ219419.1.2398_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
AB971029.1.1924_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
KC670541.1.1809_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
JX296576.1.1809_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
KJ760652.1.1793_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995410.1.1790_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
DQ244008.1.1786_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
AY635825.1.1786_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	JEL187 (J.E. Longcore)
GQ995411.1.1786_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
EU162641.1.1783_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995409.1.1781_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
KC583047.1.1779_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995248.1.1768_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995260.1.1767_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
EU371354.1.1766_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995264.1.1766_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995257.1.1766_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995262.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995261.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
GQ995258.1.1765_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	1	
